Time,TrueAlt,EstAlt,TrueVel,EstVel,EstAngle,TrueLat,TrueLon,EstLat,EstLon
1.09,50.5999,47.7586,91.7522,91.7622,0.000862185,28.6084,-80.6043,28.6083,-80.6044
1.1,51.5258,48.2711,92.5847,92.5956,0.00165282,28.6084,-80.6043,28.6083,-80.6044
1.11,52.46,49.2054,93.417,93.4268,0.00158351,28.6084,-80.6043,28.6083,-80.6044
1.12,53.4025,50.148,94.249,94.2585,0.00203625,28.6084,-80.6043,28.6083,-80.6044
1.13,54.3533,51.0989,95.0807,95.0908,0.00237257,28.6084,-80.6043,28.6083,-80.6044
1.14,55.3124,52.0581,95.9122,95.9227,0.00185035,28.6084,-80.6043,28.6083,-80.6044
1.15,56.2798,53.0257,96.7434,96.7541,0.0017601,28.6084,-80.6043,28.6083,-80.6044
1.16,57.2556,54.0015,97.5744,97.5846,0.00207261,28.6084,-80.6043,28.6083,-80.6044
1.17,58.2396,54.9856,98.4051,98.4133,0.00283618,28.6084,-80.6043,28.6083,-80.6044
1.18,59.232,55.9781,99.2356,99.242,0.00306286,28.6084,-80.6043,28.6083,-80.6044
1.19,60.2326,56.9788,100.066,100.074,0.00288603,28.6084,-80.6043,28.6083,-80.6044
1.2,61.2416,57.3619,100.896,100.905,0.00251538,28.6084,-80.6043,28.6083,-80.6044
1.21,62.2588,58.3793,101.725,101.734,0.00186036,28.6084,-80.6043,28.6083,-80.6044
1.22,63.2844,59.4049,102.555,102.561,0.0012309,28.6084,-80.6043,28.6083,-80.6044
1.23,64.3182,60.4388,103.384,103.392,0.00218336,28.6084,-80.6043,28.6083,-80.6044
1.24,65.3603,61.481,104.212,104.219,0.00222253,28.6084,-80.6043,28.6083,-80.6044
1.25,66.4108,62.5315,105.041,105.049,0.00186336,28.6084,-80.6043,28.6083,-80.6044
1.26,67.4694,63.5903,105.869,105.879,0.00153715,28.6084,-80.6043,28.6083,-80.6044
1.27,68.5364,64.6573,106.697,106.708,0.0018828,28.6084,-80.6043,28.6083,-80.6044
1.28,69.6117,65.7327,107.525,107.537,0.00170508,28.6084,-80.6043,28.6083,-80.6044
1.29,70.6952,66.8164,108.352,108.364,0.00112302,28.6084,-80.6043,28.6083,-80.6044
1.3,71.787,67.7863,109.179,109.193,0.00159668,28.6084,-80.6043,28.6083,-80.6044
1.31,72.887,68.8865,110.006,110.02,0.00207504,28.6084,-80.6043,28.6083,-80.6044
1.32,73.9954,69.9949,110.833,110.846,0.00238598,28.6084,-80.6043,28.6083,-80.6044
1.33,75.112,71.1116,111.659,111.672,0.00208002,28.6084,-80.6043,28.6083,-80.6044
1.34,76.2368,72.2366,112.485,112.496,0.00176901,28.6084,-80.6043,28.6083,-80.6044
1.35,77.3699,73.3698,113.31,113.322,0.00131006,28.6084,-80.6043,28.6083,-80.6044
1.36,78.5113,74.5113,114.136,114.147,0.00197843,28.6084,-80.6043,28.6083,-80.6044
1.37,79.6609,75.661,114.961,114.971,0.0019238,28.6084,-80.6043,28.6083,-80.6044
1.38,80.8187,76.819,115.785,115.796,0.00152378,28.6084,-80.6043,28.6083,-80.6044
1.39,81.9848,77.9852,116.61,116.621,0.00082145,28.6084,-80.6043,28.6083,-80.6044
1.4,83.1592,78.6363,117.434,117.444,0.00158387,28.6084,-80.6043,28.6083,-80.6044
1.41,84.3417,79.819,118.258,118.266,0.00183225,28.6084,-80.6043,28.6083,-80.6044
1.42,85.5326,81.0099,119.081,119.09,0.00178927,28.6084,-80.6043,28.6083,-80.6044
1.43,86.7316,82.209,119.904,119.912,0.000889414,28.6084,-80.6043,28.6083,-80.6044
1.44,87.9389,83.4164,120.727,120.735,0.00185547,28.6084,-80.6043,28.6083,-80.6044
1.45,89.1544,84.632,121.549,121.559,0.00143666,28.6084,-80.6043,28.6083,-80.6044
1.46,90.3781,85.8558,122.372,122.381,0.00148882,28.6084,-80.6043,28.6083,-80.6044
1.47,91.61,87.0878,123.193,123.204,0.000973735,28.6084,-80.6043,28.6083,-80.6044
1.48,92.8502,88.3281,124.015,124.027,0.000218763,28.6084,-80.6043,28.6083,-80.6044
1.49,94.0985,89.5766,124.836,124.848,-0.000335045,28.6084,-80.6043,28.6083,-80.6044
1.5,95.3551,90.1925,125.657,125.67,-0.000174972,28.6084,-80.6043,28.6083,-80.6044
1.51,96.6199,91.4574,126.478,126.49,0.000632617,28.6084,-80.6043,28.6083,-80.6044
1.52,97.8928,92.7306,127.298,127.313,0.000127908,28.6084,-80.6043,28.6083,-80.6044
1.53,99.174,94.0119,128.118,128.131,0.00021589,28.6084,-80.6043,28.6083,-80.6044
1.54,100.463,95.3014,128.937,128.95,-3.34808e-05,28.6084,-80.6043,28.6083,-80.6044
