Time,TrueAlt,EstAlt,TrueVel,EstVel,EstAngle,TrueLat,TrueLon,EstLat,EstLon
1.03,45.2198,40.8048,86.752,86.7594,0.00734802,28.6084,-80.6043,28.6084,-80.6044
1.04,46.0956,41.6807,87.586,87.5931,0.00668357,28.6084,-80.6043,28.6084,-80.6044
1.05,46.9798,42.565,88.4197,88.4256,0.00600231,28.6084,-80.6043,28.6084,-80.6044
1.06,47.8724,43.4576,89.2532,89.2606,0.00558924,28.6084,-80.6043,28.6084,-80.6044
1.07,48.7732,44.3585,90.0865,90.0953,0.00526062,28.6084,-80.6043,28.6084,-80.6044
1.08,49.6824,45.2678,90.9195,90.9286,0.0043935,28.6084,-80.6043,28.6084,-80.6044
1.09,50.5999,46.1854,91.7522,91.7621,0.00527519,28.6084,-80.6043,28.6084,-80.6044
1.1,51.5258,46.7934,92.5847,92.5962,0.00615603,28.6084,-80.6043,28.6084,-80.6044
1.11,52.46,47.7277,93.417,93.4274,0.00648468,28.6084,-80.6043,28.6084,-80.6044
1.12,53.4025,48.6703,94.249,94.2608,0.0060463,28.6084,-80.6043,28.6084,-80.6044
1.13,54.3533,49.6212,95.0807,95.0924,0.00522891,28.6084,-80.6043,28.6084,-80.6044
1.14,55.3124,50.5805,95.9122,95.9247,0.00424399,28.6084,-80.6043,28.6084,-80.6044
1.15,56.2798,51.548,96.7434,96.7542,0.00346893,28.6084,-80.6043,28.6084,-80.6044
1.16,57.2556,52.5239,97.5744,97.5848,0.0038358,28.6084,-80.6043,28.6084,-80.6044
1.17,58.2396,53.508,98.4051,98.4169,0.00364774,28.6084,-80.6043,28.6084,-80.6044
1.18,59.232,54.5005,99.2356,99.2455,0.00405622,28.6084,-80.6043,28.6084,-80.6044
1.19,60.2326,55.5012,100.066,100.077,0.00345838,28.6084,-80.6043,28.6084,-80.6044
1.2,61.2416,55.9936,100.896,100.909,0.00245872,28.6084,-80.6043,28.6084,-80.6044
1.21,62.2588,57.011,101.725,101.736,0.0031694,28.6084,-80.6043,28.6084,-80.6044
1.22,63.2844,58.0367,102.555,102.565,0.00371593,28.6084,-80.6043,28.6084,-80.6044
1.23,64.3182,59.0706,103.384,103.396,0.00289753,28.6084,-80.6043,28.6084,-80.6044
1.24,65.3603,60.1129,104.212,104.226,0.00354463,28.6084,-80.6043,28.6084,-80.6044
1.25,66.4108,61.1634,105.041,105.053,0.00442485,28.6084,-80.6043,28.6084,-80.6044
1.26,67.4694,62.2222,105.869,105.88,0.00481594,28.6084,-80.6043,28.6084,-80.6044
1.27,68.5364,63.2893,106.697,106.709,0.00480135,28.6084,-80.6043,28.6084,-80.6044
1.28,69.6117,64.3646,107.525,107.535,0.00557261,28.6084,-80.6043,28.6084,-80.6044
1.29,70.6952,65.4483,108.352,108.361,0.00490615,28.6084,-80.6043,28.6084,-80.6044
1.3,71.787,65.8036,109.179,109.19,0.00451754,28.6084,-80.6043,28.6084,-80.6044
1.31,72.887,66.9038,110.006,110.017,0.00381272,28.6084,-80.6043,28.6084,-80.6044
1.32,73.9954,68.0123,110.833,110.846,0.00416023,28.6084,-80.6043,28.6084,-80.6044
1.33,75.112,69.129,111.659,111.673,0.00482981,28.6084,-80.6043,28.6084,-80.6044
1.34,76.2368,70.254,112.485,112.501,0.00532975,28.6084,-80.6043,28.6084,-80.6044
1.35,77.3699,71.3873,113.31,113.328,0.00623458,28.6084,-80.6043,28.6084,-80.6044
1.36,78.5113,72.5288,114.136,114.155,0.00661517,28.6084,-80.6043,28.6084,-80.6044
1.37,79.6609,73.6786,114.961,114.979,0.00704485,28.6084,-80.6043,28.6084,-80.6044
1.38,80.8187,74.8367,115.785,115.804,0.00695783,28.6084,-80.6043,28.6084,-80.6044
1.39,81.9848,76.0029,116.61,116.629,0.00682908,28.6084,-80.6043,28.6084,-80.6044
1.4,83.1592,76.8889,117.434,117.453,0.00656721,28.6084,-80.6043,28.6084,-80.6044
1.41,84.3417,78.0716,118.258,118.277,0.00589398,28.6084,-80.6043,28.6084,-80.6044
1.42,85.5326,79.2626,119.081,119.099,0.00557894,28.6084,-80.6043,28.6084,-80.6044
1.43,86.7316,80.4618,119.904,119.92,0.00524584,28.6084,-80.6043,28.6084,-80.6044
1.44,87.9389,81.6693,120.727,120.743,0.00425791,28.6084,-80.6043,28.6084,-80.6044
1.45,89.1544,82.8849,121.549,121.566,0.00345245,28.6084,-80.6043,28.6084,-80.6044
1.46,90.3781,84.1088,122.372,122.389,0.00402592,28.6084,-80.6043,28.6084,-80.6044
1.47,91.61,85.3409,123.193,123.209,0.00366641,28.6084,-80.6043,28.6084,-80.6044
1.48,92.8502,86.5812,124.015,124.031,0.0045185,28.6084,-80.6043,28.6084,-80.6044
1.49,94.0985,87.8297,124.836,124.851,0.00429557,28.6084,-80.6043,28.6084,-80.6044
1.5,95.3551,88.2952,125.657,125.673,0.00359057,28.6084,-80.6043,28.6084,-80.6044
1.51,96.6199,89.5602,126.478,126.493,0.00361694,28.6084,-80.6043,28.6084,-80.6044
1.52,97.8928,90.8333,127.298,127.311,0.00274368,28.6084,-80.6043,28.6084,-80.6044
1.53,99.174,92.1146,128.118,128.133,0.00269149,28.6084,-80.6043,28.6084,-80.6044
1.54,100.463,93.4041,128.937,128.952,0.00260625,28.6084,-80.6043,28.6084,-80.6044
1.55,101.761,94.7019,129.756,129.773,0.00189929,28.6084,-80.6043,28.6084,-80.6044
1.56,103.067,96.0078,130.575,130.592,0.000911986,28.6084,-80.6043,28.6084,-80.6044
1.57,104.381,97.3219,131.394,131.41,0.00187821,28.6084,-80.6043,28.6084,-80.6044
1.58,105.703,98.6442,132.212,132.226,0.0021186,28.6084,-80.6043,28.6084,-80.6044
1.59,107.033,99.9746,133.03,133.044,0.0012414,28.6084,-80.6043,28.6084,-80.6044
1.6,108.372,100.795,133.847,133.861,0.00142067,28.6084,-80.6043,28.6084,-80.6044
1.61,109.718,102.142,134.664,134.679,0.00178246,28.6084,-80.6043,28.6084,-80.6044
1.62,111.073,103.497,135.481,135.493,0.00215172,28.6084,-80.6043,28.6084,-80.6044
1.63,112.436,104.86,136.297,136.31,0.00159816,28.6084,-80.6043,28.6084,-80.6044
1.64,113.807,106.231,137.113,137.125,0.00133404,28.6084,-80.6043,28.6084,-80.6044
1.65,115.186,107.611,137.929,137.94,0.00114059,28.6084,-80.6043,28.6084,-80.6044
1.66,116.574,108.998,138.744,138.756,0.00190841,28.6084,-80.6043,28.6084,-80.6044
1.67,117.969,110.394,139.559,139.571,0.00267362,28.6084,-80.6043,28.6084,-80.6044
1.68,119.373,111.798,140.374,140.387,0.00351787,28.6084,-80.6043,28.6084,-80.6044
1.69,120.785,113.21,141.188,141.201,0.00313979,28.6084,-80.6043,28.6084,-80.6044
1.7,122.205,113.685,142.002,142.016,0.00319604,28.6084,-80.6043,28.6084,-80.6044
1.71,123.633,115.113,142.815,142.831,0.00382578,28.6084,-80.6043,28.6084,-80.6044
1.72,125.069,116.55,143.628,143.646,0.00447939,28.6084,-80.6043,28.6084,-80.6044
1.73,126.514,117.994,144.441,144.458,0.00433353,28.6084,-80.6043,28.6084,-80.6044
1.74,127.966,119.447,145.253,145.272,0.00472233,28.6084,-80.6043,28.6084,-80.6044
1.75,129.427,120.908,146.065,146.082,0.00491453,28.6084,-80.6043,28.6084,-80.6044
1.76,130.896,122.377,146.877,146.895,0.00530972,28.6084,-80.6043,28.6084,-80.6044
1.77,132.373,123.854,147.688,147.706,0.00515992,28.6084,-80.6043,28.6084,-80.6044
1.78,133.858,125.339,148.499,148.516,0.00585483,28.6084,-80.6043,28.6084,-80.6044
1.79,135.351,126.832,149.309,149.327,0.00619979,28.6084,-80.6043,28.6084,-80.6044
